Daniel Ginczek,VfB Stuttgart,0.708242857142857
Daniel Halfar,1. FC Köln,0.6051000000000002
Daniel Opare,FC Augsburg,0.4543928571428569
Daniel Schwaab,VfB Stuttgart,0.7916812500000001
Daniel van Buyten,FC Bayern Munich,0.8171
Danilo Soares,FC Ingolstadt 04,0.3490958333333333
Danny Latza,1. FSV Mainz 05,0.4524066666666667
Danny da Costa,FC Ingolstadt 04,0.4522722222222222
Dante,VfL Wolfsburg,0.752325
Dario Kresic,Bayer 04 Leverkusen,0.5406785714285716
Dario Lezcano,FC Ingolstadt 04,0.4128315789473683
David Abraham,Eintracht Frankfurt,0.777330769230769
David Alaba,FC Bayern Munich,0.8092125
David Kinsombi,Eintracht Frankfurt,0.37733999999999995
Davie Selke,SV Werder Bremen,0.39522999999999997
Deniz Dogan,Eintracht Braunschweig,0.45453999999999994
Dennis Aogo,FC Schalke 04,0.8193823529411766
Dennis Diekmeier,Hamburger SV,0.7877642857142857
Dennis Kruppke,Eintracht Braunschweig,0.5370900000000001
Deyverson,1. FC Köln,0.44883235294117607
Didier Konan Ya,Hannover 96,0.6561575
Diego,VfL Wolfsburg,0.7000882352941176
Diego Benaglio,VfL Wolfsburg,0.8393
Diego Contento,FC Bayern Munich,0.669925
Dominic Maroh,1. FC Köln,0.6607636363636366
Dominik Kohr,FC Augsburg,0.40475312499999994
Dominik Kumbela,Eintracht Braunschweig,0.39318749999999997
Dominik Stroh-Engel,SV Darmstadt 98,0.4568363636363635
Dominique Heintz,1. FC Köln,0.5272227272727269
Dong-Won Ji,FC Augsburg,0.5719375
Douglas Costa,FC Bayern Munich,0.7977
Dusan Svento,1. FC Köln,0.4464125
Edgar Prib,Hannover 96,0.7848041666666666
Eduardo Vargas,TSG 1899 Hoffenheim,0.7766214285714282
Elias Kachunga,FC Ingolstadt 04,0.49523181818181794
Eljero Elia,SV Werder Bremen,0.7733472222222219
Elkin Soto,1. FSV Mainz 05,0.7312750000000001
Emanuel Pogatetz,1. FC Nürnberg,0.4621999999999995
Emiliano Insua,VfB Stuttgart,0.7808500000000003
Emir Spahic,Hamburger SV,0.824825
Emre Can,Bayer 04 Leverkusen,0.5826312499999999
Eren Derdiyok,Bayer 04 Leverkusen,0.5149
Eric Durm,Borussia Dortmund,0.6450033333333334
Eric Maxim Choupo-Moting,FC Schalke 04,0.7184462962962963
Ermin Bicakcic,TSG 1899 Hoffenheim,0.7707875
Eugen Polanski,TSG 1899 Hoffenheim,0.7294666666666666
Fabian Frei,1. FSV Mainz 05,0.7103568965517237
Fabian Giefer,FC Schalke 04,0.7120214285714284
Fabian Holland,SV Darmstadt 98,0.4211433333333333
Fabian Johnson,Borussia Mönchengladbach,0.7025964285714281
Fabian Lustenberger,Hertha BSC Berlin,0.7797117647058828
Fabian Schaer,TSG 1899 Hoffenheim,0.714867391304348
Federico Barba,VfB Stuttgart,0.36457307692307683
Felipe,Hannover 96,0.6873400000000001
Felipe Santana,FC Schalke 04,0.7608545454545459
Felix Klaus,Hannover 96,0.5153107142857147
Felix Kroos,SV Werder Bremen,0.523978125
Felix Passlack,Borussia Dortmund,0.38809999999999995
Felix Platte,SV Darmstadt 98,0.38619999999999993
Felix Wiedwald,SV Werder Bremen,0.7738071428571425
Filip Daems,Borussia Mönchengladbach,0.63185625
Filip Djuricic,1. FSV Mainz 05,0.7618305555555556
Filip Kostic,VfB Stuttgart,0.5608366666666667
Filip Mladenovic,1. FC Köln,0.5864571428571428
Fin Bartels,SV Werder Bremen,0.6240166666666667
Florian Grillitsch,SV Werder Bremen,0.3763055555555555
Florian Hartherz,SC Paderborn 07,0.4542666666666666
Florian Jungwirth,SV Darmstadt 98,0.5010857142857146
Florian Klein,VfB Stuttgart,0.4485730769230767
Florian Niederlechner,1. FSV Mainz 05,0.42959117647058803
Franck Ribery,FC Bayern Munich,0.8055785714285716
Franco Di Santo,FC Schalke 04,0.6749896551724136
Frantisek Rajtoral,Hannover 96,0.70385
